it_fo_water;Water bottle;Wasserflasche;Wasserfläsche
it_eq_wizardhatblue;Blue wizardhat;Blauer Spitzhut;Blaue Magierhuet
it_eq_wizardhatgrey;Grey wizardhat;Grauer Spitzhut;Graue Magierhuet
itd_bread;An ordinary loaf of bread.;Ein einfaches Brot.;Es Brot halt.
itd_cheese;Smelly.;Riecht nicht sonderlich gut.;Er müffelet echli.
itd_icestaff;Feels ice cold.;Fühlt sich eiskalt an.;So chalt we Iis.
itd_rustysword;Doesn't seem to have been used lately.;Wurde wohl schon länger nicht mehr benutzt.;Isch glaub scho länger nüm brucht worde.
itd_water;Fresh clear water.;Frisches klares Wasser.;Frischs klars Wasser.
itd_wizardhat;A perfect fit for a mage.;Perfekt für einen Magier.;Perfekt für en Magier.
Jump;Jump;Springen;Springe
Language;Language;Sprache;Sproch
itd_caveberry;Sweet;Süss;Süess
itd_glowingshroom;It still glows…;Er leuchtet immer noch…;Er lüchtet immer na…
itd_goldengoblet;A golden goblet;Ein goldener Pokal;En goldige Pokal
itd_healingherb;Heals wounds;Heilt Wunden;Heilt Wunde
itd_letter;Sealed;Versiegelt;Versiglet
itd_ringoflesserhealth;The small ruby sparkles;Der kleine Rubin funkelt;De chli Rubin funklet 
LoadGame;Load Game;Spiel laden;Spiel lade
Mana;Mana;Mana;Mana
ManaRegeneration;Mana Regeneration;Manaregeneration;Manaregeneration
MaxFPS;Max. FPS;Max. FPS;Max. FPS
MoveDown;Move down;Nach unten bewegen;Abelaufe
MoveLeft;Move left;Nach links laufen;Links laufe
MoveRight;Move right;Nach rechts bewegen;Rechts laufe
MoveUp;Move up;Nach oben bewegen;Uelaufe
NewGame;New Game;Neues Spiel;Neus Spiel
No;No;Nein;Nai
Off;Off;Aus;Uus
On;On;An;Ii
Options;Options;Einstellungen;Iistellige
OutOfRange;Out of range;Ich muss näher ran;Da isch z'wiit weg
PhysicalDamage;Physical Damage;Physischer Schaden;Physische Schade
PressAnyKey;<?>;<?>;<?>
QuestionLoadGame;"Load game?
All unsaved progress will be lost.";"Spiel laden?
Ungespeicherter Fortschritt geht verloren.";"Spiel lade?
Ungspeicherete Fortschritt isch futsch."
QuestionStartNewGame;"Start new game?
All unsaved progress will be lost.";"Neues Spiel starten?
Ungespeicherter Fortschritt geht verloren.";"Neus Spiel starte?
Ungspeicherete Fortschritt isch futsch."
Quickload;Quick load;Schnell laden;Schnell lade
Quicksave;Quick save;Schnell speichern;Schnell speichere
Resume;Resume;Spiel fortsetzen;Zrugg zum Spiel
RetryLevel;Retry this level;Nochmal versuchen;Nomal probiere
SaveGame;Save Game;Spiel speichern;Spiel speichere
Sound;Sound;Musik;Musig
SoundVolume;Volume;Lautstärke;Luutstärchi
Chop;Chop;Hauen;Haue
FirstSpell;1. Spell;1. Zauber;1. Zauber
SecondSpell;2. Spell;2. Zauber;2. Zauber
ThirdSpell;3. Spell;3. Zauber;3. Zauber
FourthSpell;4. Spell ;4. Zauber;4. Zauber
FifthSpell;5. Spell;5. Zauber;5. Zauber
SpellFire;Fireball;Feuerball;Füürball
SpellIce;Icebolt;Eisblitz;Iisblitz
StartGame;Start Game;Spiel starten;Spiel starte
SwissGerman;Swiss German;Schweizerdeutsch;Schwiizerdüütsch
Unknown;Unknown;Unbekannt;Unbekannt
Yes;Yes;Ja;Ja
YouDied;You died;Ihr seid tot;Du bisch verreckt
GameSaved;Game saved;Spiel gespeichert;Spiel gspeicheret
NoQuicksaveExists;No quick save exists;Kein Schnelllade-Speicherstand existiert;Kein Schnelllade-Speicherstand existiert
NPC_Guard;Kingsguard;Wache des Königs;Wächter vom König
Hello;Hello;Hallo;Hoi
Interact;Interact;Interagieren;Interagiere
Journal;Journal;Tagebuch;Tagebuech
DL_Guard_Hello;Hey you, stop! What are you doing here, so very alone? It's dangerous out here.;Hey du, stopp! Was machst du hier, so alleine? Es ist gefährlich hier draussen.;Hey du, stop! Was machsch du da? Es isch gföhrlich, so elei go umelaufe.
DL_Guard_KillSomeRats;Okay, go and kill some rats for me.;Okay, dann geh und töte ein paar Ratten für mich.;Okay, dänn gang und kill es paar Ratte für mich.
DL_Cendric_Okay;Okay, I will do that.;Okay, das mache ich.;Okay, dännhalt.
DL_Choice_GiveMeAQuest;Give me a quest.;Gib mir eine Aufgabe.;Gib mer was zum mache.
DL_Choice_Nothing;None of your business.;Geht dich nichts an.;Gaht dich en füechte Dreck ah.
DL_Guard_KillThemAlready;You haven't killed those rats! Go and do your job.;Die Ratten leben noch! Geh jetzt und erledige das.;Du hesch die Ratte nanig killt! Gang ez und mach da.
Confirm;Confirm;Bestätigen;Bestätige
ShadowDamage;Shadow Damage;Schattenschaden;Schatteschade
LightDamage;Light Damage;Lichtschaden;Liechtschade
ShadowResistance;Shadow Resistance;Schattenresistenz;Schatteresistenz
LightResistance;Light Resistance;Lichtresistenz;Liechtresistenz
Reduction;Reduction;Verminderung;Verminderig
CriticalHitChance;Critical Hit Chance;Chance auf kritische Treffer;Chance uf kritischi Treffer
Haste;Haste;Schnelligkeit;Schnelligkeit
CooldownReduction;Cooldown Reduction;Abklingzeitverringerung;Abklingziitverringering
Load;Load;Laden;Lade
