Equipment;Equipment;Ausrüstung;Usrüstig
Exit;Exit;Beenden;Beende
Failed;Failed;Fehlgeschlagen;Gfailt
FearLevel;Fear Level;Furcht Stufe;Angscht Stufe
FifthSpell;5. Spell;5. Zauber;5. Zauber
FireDamage;Fire Damage;Feuerschaden;Füürschade
FireResistance;Fire Resistance;Feuerresistenz;Füürresistenz
FirstSpell;1. Spell;1. Zauber;1. Zauber
FourthSpell;4. Spell ;4. Zauber;4. Zauber
GamePaused;Game Paused;Spiel pausiert;Spiel pausiert
GameSaved;Game saved;Spiel gespeichert;Spiel gspeicheret
Gems;Gems;Edelsteine;Edelstei
GemSockets;Gem Sockets;Edelstein Sockel;Edelstei Sockel
German;German;Deutsch;Düütsch
Gold;Gold;Gold;Gold
GoldValue;Gold Value;Goldwert;Goldwert
Haste;Haste;Schnelligkeit;Schnelligkeit
Heal;Heal;Heilung;Heilig
Health;Health;Lebensenergie;Lebe
HealthRegeneration;Health Regeneration;Lebensregeneration;Lebensregeneration
HealthRegenerationPerS;Health Regeneration / s;Lebensregeneration / s;Lebensregeneration / s
Hello;Hello;Hallo;Hoi
IceDamage;Ice Damage;Eisschaden;Iisschade
IceResistance;Ice Resistance;Eisresistenz;Iisresistenz
Illusion;Illusion;Illusion;Illusion
Interact;Interact;Interagieren;Interagiere
Inventory;Inventory;Inventar;Inventar
IsLocked;Is locked!;Ist verschlossen!;Da isch abgschlosse!
Journal;Journal;Tagebuch;Tagebuech
Jump;Jump;Springen;Springe
KeyBindings;Key Bindings;Tastaturbelegung;Tastaturbelegig
KeyReserved;This key is reserved and cannot be selected.;Diese Taste ist reserviert und kann nicht gewählt werden.;Die Taste isch reserviert und derf me nid bruche.
Language;Language;Sprache;Sproch
Level;Level;Stufe;Level
LightDamage;Light Damage;Lichtschaden;Liechtschade
LightResistance;Light Resistance;Lichtresistenz;Liechtresistenz
Load;Load;Laden;Lade
LoadGame;Load Game;Spiel laden;Spiel lade
Loading;Loading...;Lädt...;Es ladet...
LockpickLevel;Lockpick Level;Dietrich Stufe;Dietrich Level
Mana;Mana;Mana;Mana
ManaRegeneration;Mana Regeneration;Manaregeneration;Manaregeneration
MaxFPS;Max. FPS;Max. FPS;Max. FPS
MaxHealthPoints;Max. Health;Max. Lebensenergie;Max. Lebensenergie
MessageNewSaveGame;Please enter the name for your new save game (at most 24 characters);Bitte gib einen Namen ein für deinen neuen Speicherstand (höchstens 24 Zeichen);Bitte gib en Name ih für din neue Speicherstand (höchstens 24 Zeiche)
Miscellaneous;Miscellaneous;Plunder;Grümpel
MoveDown;Move down;Nach unten bewegen;Abelaufe
MoveLeft;Move left;Nach links laufen;Links laufe
MoveRight;Move right;Nach rechts bewegen;Rechts laufe
MoveUp;Move up;Nach oben bewegen;Uelaufe
Necromancy;Necromancy;Nekromantie;Nekromantie
New;New;Neu;Neu
NewGame;New Game;Neues Spiel;Neus Spiel
No;No;Nein;Nai
NoQuicksaveExists;No quick save exists;Kein Schnelllade-Speicherstand existiert;Kein Schnelllade-Speicherstand existiert
NoWeapon;No weapon equipped;Keine Waffe ausgerüstet;Kei Waffe usgrüstet
npc_guard;Kingsguard;Wache des Königs;Wächter vom König
Off;Off;Aus;Uus
Okay;Okay;Okay;Okee
On;On;An;Ii
OperationFailed;Operation failed;Operation fehlgeschlagen;Die Operation isch id Hose
Options;Options;Einstellungen;Iistellige
OutOfRange;Out of range;Ich muss näher ran;Da isch z'wiit weg
Pending;Pending;Ausstehend;Nanig erfüllt
PhysicalDamage;Physical Damage;Physischer Schaden;Physische Schade
PressAnyKey;<?>;<?>;<?>
QuestionDeleteSaveGame;Do you really want to delete this save game?;Willst du diesen Speicherstand wirklich löschen?;Wetsch de Speicherstand würkli lösche?
QuestionGoBackToCheckpoint;Your progress since the last checkpoint will be lost. Continue?;Dein Fortschritt seit dem letzten Kontrollpunkt geht verloren. Fortfahren?;Din Fortschritt sitt em letzte Checkpoint gaht verlore. Egal?
QuestionLoadGame;"Load game?
All unsaved progress will be lost.";"Spiel laden?
Ungespeicherter Fortschritt geht verloren.";"Spiel lade?
Ungspeicherete Fortschritt isch futsch."
QuestionOverwriteSaveGame;Overwrite this save game?;Diesen Speicherstand überschreiben?;De Speicherstand überschribe?
QuestionStartNewGame;"Start new game?
All unsaved progress will be lost.";"Neues Spiel starten?
Ungespeicherter Fortschritt geht verloren.";"Neus Spiel starte?
Ungspeicherete Fortschritt isch futsch."
QuestItems;Quest Items;Questgegenstände;Questgegeständ
Quickcast;Quickcast;Schnellzaubern;Schnellzaubere
Quickload;Quick load;Schnell laden;Schnell lade
Quicksave;Quick save;Schnell speichern;Schnell speichere
Quickslot1;Quick Slot 1;Schnellwahl 1;Schnellwahl 1
Quickslot2;Quick Slot 2;Schnellwahl 2;Schnellwahl 2
Range;Range;Reichweite;Riichwiiti
Reduction;Reduction;Verminderung;Verminderig
Reflection;Reflection;Reflektion;Abpraller
Reset;Reset;Zurücksetzen;Zruggsetze
Resume;Resume;Spiel fortsetzen;Zrugg zum Spiel
Save;Save;Speichern;Speichere
SaveGame;Save Game;Spiel speichern;Spiel speichere
SavegameDeleted;Save game successfully deleted;Speicherstand erfolgreich gelöscht;Speicherstand isch glöscht
SecondSpell;2. Spell;2. Zauber;2. Zauber
ShadowDamage;Shadow Damage;Schattenschaden;Schatteschade
ShadowResistance;Shadow Resistance;Schattenresistenz;Schatteresistenz
Sound;Sound;Musik;Musig
SoundVolume;Volume;Lautstärke;Luutstärchi
Speed;Speed;Geschwindigkeit;Gschwindigkeit
SpellAntiGravity;Anti Gravity;Schwerkraft umkehren;Schwerchraft umchere
SpellAntiGravityDesc;Reverses gravity for Cendric for a certain duration.;Dreht Cendrics Schwerkraft für eine gewisse Zeit um.;Drüllt em Cendric sini Schwerchraft für e gwüssi Ziit um.
SpellAureola;Aureola;Strahlenkranz;Strahlechranz
SpellAureolaDesc;Sends balls of light in all directions, if they hit an enemy they will return to Cendric and heal him.;Schickt Lichtbälle in alle Richtungen, die zurückkehren und Cendric heilen, falls sie einen Gegner treffen.;Schickt Liechtbäll in all Richtige, wo zruggchömed und de Cendric heiled wenn si en Gegner troffe hend.
Spellbook;Spellbook;Zauberbuch;Zauberbuech
SpellDivineShield;Divine Shield;Göttlicher Schild;Göttliche Schild
SpellDivineShieldDesc;Grants a shield that enhances Cendrics Resistance and heals him once.;Umhüllt Cendric mit einem Schild, der ihn einmalig heilt und für eine gewisse Dauer seine Resistenzen erhöht.;Umhüllt de Cendric mitme Schild wo ihn eimalig heilt und sini Resistenze für e gwüssi Ziit erhöht.
SpellFear;Fear;Furcht;Angscht
SpellFearDesc;Enemies will flee in terror for a certain duration if the spell is strong enough.;Gegner fliehen für eine gewisse Zeit, allerdings nur, wenn der Zauber genug stark für sie ist.;Gegner flüchtet für e gwüssi Ziit, aber nur, wenn de Zauber gnueg starch isch für si.
SpellFireBall;Fireball;Feuerball;Füürball
SpellFireBallDesc;The good old fireball. Burns enemies and melts ice.;Der gute alte Feuerball. Verbrennt Gegner und schmilzt Eis.;De guet alt Füürball. Verbrennt Gegner und schmelzt Iis.
SpellIceBall;Iceball;Eisball;Iisball
SpellIceBallDesc;An icy ball damages enemies and freezes water.;Ein eisiger Ball schadet Gegnern und gefriert Wasser.;En iisige Ball schadet Gegner und gfrüürt Wasser.
SpellIcyAmbush;Icy Ambush;Eisiger Hinterhalt;Iischalte Hinterhalt
SpellIcyAmbushDesc;Cendric throws an enchanted dagger that deals big damage when it hits an enemy, stuns it and enemies in range and ports Cendric to its location.;Cendric wirft einen verzauberten Dolch, der eine grosse Menge Schaden verursacht, wenn er einen Gegner trifft und Cendric an dessen Stelle teleportiert. Gegner im Umkreis werden betäubt.;De Cendric wirft en verzauberte Dolch wo viel Schade amne Gegner macht und Gegner im Umkreis betäubt. De Cendric wird ad Stell vom troffene Gegner teleportiert.
SpellLeech;Leech;Lebensraub;Lebesraub
SpellLeechDesc;Sends out leeching spells that damage enemies and return with heal to Cendric if they hit an enemy.;Schickt lebensraubende Zauber aus, die zu Cendric zurückkehren, um ihn zu heilen, falls sie einen Gegner getroffen haben.;Schickt lebensraubendi Zauber uus wo zum Cendric zruggchömed zum ihn heile falls si en Gegner troffe hend.
SpellSlots;Spell Slots;Verfügbare Zauber;Verfüegbari Zauber
SpellUnlock;Summon Picklock;Dietrich beschwören;Dietrich beschwöre
SpellUnlockDesc;Summons a picklock that is able to unlock locked chests if its strength is big enough for the chest.;Beschwört einen Dietrich, der verschlossene Truhen knackt, sofern die Stärke des Zaubers ausreicht.;Beschwört en Dietrich ane wo e verschlosseni True knackt sofern de Zauber gnueg starch isch für die True.
SpellWindGust;Wind Gust;Windstoss;Windstoss
SpellWindGustDesc;A wind gust that is able to shift certain objects.;Ein Windstoss der gewisse Objekte verschieben kann.;En Windstoss wo gwüssi Objekt verschiebe chan.
StartGame;Start Game;Spiel starten;Spiel starte
Strength;Strength;Stärke;Stärchi
SwissGerman;Swiss German;Schweizerdeutsch;Schwiizerdüütsch
ThirdSpell;3. Spell;3. Zauber;3. Zauber
Twilight;Twilight;Zwielicht;Zwieliecht
Type;Type;Typ;Typ
Unknown;Unknown;Unbekannt;Unbekannt
WeaponDamage;Weapon Damage;Waffenschaden;Waffeschade
WindForce;Wind Force;Windstärke;Windstärchi
Yes;Yes;Ja;Ja
YouDied;You died;Ihr seid tot;Du bisch verreckt
